gene_ID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000005889,1330.911379,-0.413695866,0.381649537,-1.083967951,0.278379009,0.705313222
ENSG00000005893,6840.647089,-0.56910397,0.253684985,-2.243349048,0.024874315,0.208676013
ENSG00000005961,2.074090292,0.053220339,0.528516683,0.100697558,0.91979055,NA
ENSG00000005981,3.680145033,-0.278921743,0.558639545,-0.499287502,0.617576858,NA
ENSG00000006007,3296.024339,-0.086224469,0.22691165,-0.379991373,0.703951819,0.926017466
ENSG00000006015,775.9594343,0.053444884,0.302150918,0.176881421,0.859601533,0.965121428
ENSG00000006016,103.0653388,1.647741162,0.349402244,4.715886031,2.41E-06,0.000167588
ENSG00000006025,73.74084787,0.208454981,0.400848093,0.520034857,0.603039281,0.890851895
ENSG00000006042,995.956091,-0.487057915,0.338088182,-1.440623899,0.149690965,0.549943785
ENSG00000006047,8.268258777,-0.351272757,0.605658177,-0.579985163,0.561924623,0.878506224
ENSG00000006059,5.705569666,-0.022579411,0.600010721,-0.037631678,0.96998135,0.993607389
ENSG00000006062,338.7903005,0.20824911,0.336025896,0.619741253,0.535428151,0.867963974
ENSG00000006118,3700.290184,-1.076645568,0.266871242,-4.034325912,5.48E-05,0.002172481
ENSG00000006125,10289.86221,0.22137525,0.257427506,0.859951811,0.389815606,0.788776878
ENSG00000006128,2.173313335,-0.8143677,0.546900533,-1.489059987,0.136471573,NA
ENSG00000006194,941.2363859,-0.706426898,0.222683593,-3.172334744,0.001512186,0.029070169
ENSG00000006210,14.30506343,-0.897588994,0.603209197,-1.488022727,0.1367449,0.529313509
ENSG00000006282,1516.400796,0.187778754,0.295137218,0.636242203,0.52461857,0.863433016
ENSG00000006283,2.081857819,0.533626691,0.570431974,0.935478225,0.3495419,NA
ENSG00000006327,9070.250169,0.508179089,0.22626009,2.245995254,0.024704312,0.208025965
ENSG00000006377,2.025319291,-0.33508416,0.449409994,-0.745609052,0.455903613,NA
ENSG00000006432,3811.103349,0.158412976,0.280114386,0.565529598,0.571713598,0.881453856
ENSG00000006451,4708.182018,-0.136776637,0.294631818,-0.46422901,0.642483679,0.905845913
ENSG00000006453,3597.417348,0.025564804,0.207862238,0.12298917,0.902115674,0.976389096
ENSG00000006459,874.8373462,-0.188815172,0.433705397,-0.435353521,0.663305842,0.913340456
ENSG00000006468,58.37019457,0.006651986,0.456869028,0.014559941,0.988383258,0.998469293
ENSG00000006530,677.9761491,0.311617271,0.215366384,1.446916948,0.147920186,0.548474066
ENSG00000006534,108.4213419,-1.323744054,0.425392496,-3.111818066,0.001859391,0.034099099
ENSG00000006555,528.9937917,-0.464182004,0.313089354,-1.482586355,0.138184345,0.530960334
ENSG00000006576,814.6477928,0.291076944,0.330290118,0.881276574,0.378168142,0.78083456
ENSG00000006606,11.10974079,-2.966857075,0.601482425,-4.932574841,8.12E-07,7.06E-05
ENSG00000006607,1649.575988,-0.109487998,0.236074172,-0.463786434,0.642800764,0.905845913
ENSG00000006625,1444.674752,0.586760707,0.236635946,2.479592461,0.013153262,0.138295744
ENSG00000006634,248.694433,0.957302385,0.308474608,3.103342577,0.00191348,0.034841765
ENSG00000006638,3.329414931,-0.484080533,0.584226323,-0.828583913,0.407339894,NA
ENSG00000006652,1055.967418,-0.113308639,0.381021404,-0.297381297,0.766175421,0.941109515
ENSG00000006695,794.5681084,0.384865925,0.252420953,1.524698803,0.127334241,0.510987403
ENSG00000006704,1506.480662,0.118738677,0.308087066,0.38540624,0.69993646,0.924888936
ENSG00000006712,2699.338524,0.090394364,0.232790134,0.388308398,0.697787823,0.924856549
ENSG00000006715,2042.48732,-0.422112257,0.24676097,-1.710611918,0.087152777,0.424800469
ENSG00000006740,113.657204,0.617690647,0.354169143,1.744055514,0.08114941,0.408846864
ENSG00000006744,3661.518819,-0.110574908,0.220651199,-0.501129877,0.616279721,0.896034733
