gene	SC1	SC2	SC3	SC4	SC5	SC6
ENSG00000009724	50	23	43	21	30	40
ENSG00000009765	0	6	2	1	4	8
ENSG00000009780	310	473	387	318	320	303
ENSG00000009790	307	297	315	138	205	116
ENSG00000009830	643	951	774	810	775	573
ENSG00000009844	2314	3299	2398	2200	2088	1820
ENSG00000009950	38	16	39	12	23	68
ENSG00000009954	4095	4158	4092	3271	3021	2329
ENSG00000010017	2608	2711	2187	1958	2820	1834
ENSG00000010030	8	4	9	9	6	12
ENSG00000010072	771	940	815	674	549	573
ENSG00000010165	2284	3352	2577	3328	2175	1675
ENSG00000010219	346	321	389	361	390	253
ENSG00000010244	3183	3942	3603	2897	2838	2192
ENSG00000010256	8904	7550	10525	8945	8157	5723
ENSG00000010270	847	1009	946	910	755	448
ENSG00000010278	14665	15819	16542	15610	14949	14716
ENSG00000010282	0	0	0	1	0	1
ENSG00000010292	4282	1601	5057	1284	2205	1066
ENSG00000010295	94	86	16	6	18	4
ENSG00000010310	65	90	62	47	53	189
ENSG00000010318	366	192	400	213	243	344
ENSG00000010319	77	3	104	12	22	3
ENSG00000010322	2918	3483	3046	2969	2833	3147
ENSG00000010327	1	0	3	2	7	1
ENSG00000010361	194	102	252	207	157	127
ENSG00000010379	9	23	5	7	5	9
ENSG00000010404	2985	5403	2208	2779	3085	2866
ENSG00000010438	2989	694	2966	173	3401	990
ENSG00000010539	187	281	212	167	172	185
ENSG00000010610	3	3	1	2	2	1
ENSG00000010626	210	217	237	195	131	122
ENSG00000010671	1	10	1	1	5	14
ENSG00000010704	384	428	341	368	252	269
ENSG00000010803	817	734	746	608	705	391
ENSG00000010810	1908	2738	1673	2429	2371	2423
ENSG00000010818	2703	1899	2008	1365	2122	2318
ENSG00000010932	3	3	4	1	2	0
ENSG00000011007	3177	4267	2993	3053	2878	1351
ENSG00000011009	2810	4074	3192	3648	3452	1931
ENSG00000011021	847	549	826	455	577	608
ENSG00000011028	2255	4412	1094	3648	1229	4188
ENSG00000011052	0	0	0	0	0	0
ENSG00000011083	0	1	0	0	1	0
ENSG00000011105	1116	1748	1161	1486	1362	1177
ENSG00000011114	3778	4805	3418	3119	3043	3022
ENSG00000011132	637	774	617	762	603	592
ENSG00000011143	396	401	520	396	353	245
ENSG00000011198	654	1197	656	610	978	616
ENSG00000011201	144	389	71	327	108	180
ENSG00000011243	1313	1841	1619	1695	1265	1704
ENSG00000011258	386	394	393	309	306	475
ENSG00000011260	1403	1223	1710	1286	1093	1047
ENSG00000011275	1746	2038	2055	1749	1636	1320
ENSG00000011295	1976	3019	1721	2006	2149	987
ENSG00000011304	15409	14305	17213	14863	14706	7114
ENSG00000011332	61	60	75	86	40	34
ENSG00000011347	443	194	274	226	1073	808
ENSG00000011376	1630	1485	1652	1413	980	578
ENSG00000011405	2575	3149	2068	1510	1916	2403
ENSG00000011422	2314	1110	1833	640	1112	612
ENSG00000011426	6246	1915	5885	656	1764	289
ENSG00000011451	3415	4245	3388	3798	3144	2352
ENSG00000011454	3005	3096	2778	2176	3150	3278
ENSG00000011465	3059	1308	111	1	156	155
ENSG00000011478	784	697	858	946	641	484
ENSG00000011485	3425	3163	3605	3045	2577	1622
ENSG00000011523	587	678	858	556	463	481
ENSG00000011566	860	1026	748	591	783	838
ENSG00000011590	0	7	2	10	4	12
ENSG00000011600	0	0	0	0	0	0
ENSG00000011638	1709	3234	1591	2180	3976	2742
ENSG00000011677	10	15	17	3	53	3
ENSG00000012048	1636	533	1539	256	415	196
ENSG00000012061	7798	2391	6401	2723	4319	3392
ENSG00000012124	10	8	10	18	4	6
ENSG00000012171	69	105	194	488	42	437
ENSG00000012174	906	840	754	564	652	537
ENSG00000012211	1089	949	1104	793	1068	859
ENSG00000012223	0	1	1	0	2	3
ENSG00000012232	5176	5230	5054	5012	3673	3495
ENSG00000012504	0	0	0	0	0	0
ENSG00000012660	3654	2491	3861	2323	2784	1618
ENSG00000012779	1	5	3	5	8	4
ENSG00000012817	1	0	82	64	75	0
ENSG00000012822	2072	3893	2596	4949	3031	3390
